1 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
21 Hint: ( tmp_table_size , 1gb , ['complex queries'] )  hint_id : 64 
21 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
22 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
22 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
22 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
22 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
23 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
23 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
23 Hint: ( innodb_lru_scan_depth , decrease , ['write heavy'] )  hint_id : 36 
23 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
25 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
25 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
25 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
25 Hint: ( innodb_lru_scan_depth , decrease , ['write heavy'] )  hint_id : 36 
26 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
26 Hint: ( innodb_write_io_threads , 8 , ['write heavy'] )  hint_id : 41 
27 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
27 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
27 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
28 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
28 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
28 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
28 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
29 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
29 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
29 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
30 Hint: ( innodb_log_file_size , increase , ['write heavy'] )  hint_id : 26 
30 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
30 Hint: ( innodb_log_file_size , 4gb , ['write heavy'] )  hint_id : 32 
30 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
30 Hint: ( tmp_table_size , 1gb , ['complex queries'] )  hint_id : 64 
30 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
31 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
31 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
31 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
31 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
31 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
31 Hint: ( innodb_write_io_threads , 8 , ['write heavy'] )  hint_id : 41 
31 Hint: ( tmp_table_size , 1gb , ['complex queries'] )  hint_id : 64 
31 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
33 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
34 Hint: ( innodb_lru_scan_depth , decrease , ['write heavy'] )  hint_id : 36 
34 Hint: ( tmp_table_size , 1gb , ['complex queries'] )  hint_id : 64 
34 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
35 Hint: ( innodb_lru_scan_depth , decrease , ['write heavy'] )  hint_id : 36 
35 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
36 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
36 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
37 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
37 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
37 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
37 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
38 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
38 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
38 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
38 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
39 Hint: ( innodb_log_file_size , increase , ['write heavy'] )  hint_id : 26 
39 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
39 Hint: ( innodb_log_file_size , 4gb , ['write heavy'] )  hint_id : 32 
39 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
39 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
39 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
39 Hint: ( tmp_table_size , 1gb , ['complex queries'] )  hint_id : 64 
39 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
40 Hint: ( innodb_log_file_size , increase , ['write heavy'] )  hint_id : 26 
40 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
40 Hint: ( innodb_log_file_size , 4gb , ['write heavy'] )  hint_id : 32 
40 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
40 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
40 Hint: ( tmp_table_size , 1gb , ['complex queries'] )  hint_id : 64 
40 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
41 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
41 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
41 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
41 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
41 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
41 Hint: ( tmp_table_size , 1gb , ['complex queries'] )  hint_id : 64 
41 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
42 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
42 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
42 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
42 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
43 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
43 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
43 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
43 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
44 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
44 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
44 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
44 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
44 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
44 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
44 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
44 Hint: ( tmp_table_size , 1gb , ['complex queries'] )  hint_id : 64 
44 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
45 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
45 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
45 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
45 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
45 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
45 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
45 Hint: ( tmp_table_size , 1gb , ['complex queries'] )  hint_id : 64 
45 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
46 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
46 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
46 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
46 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
46 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
46 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
47 Hint: ( tmp_table_size , 1gb , ['complex queries'] )  hint_id : 64 
47 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
48 Hint: ( innodb_log_buffer_size , increase , ['large queries'] )  hint_id : 22 
48 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
49 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
49 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
49 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
49 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
49 Hint: ( tmp_table_size , 1gb , ['complex queries'] )  hint_id : 64 
49 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
50 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
50 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
50 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
50 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
50 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
51 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
51 Hint: ( tmp_table_size , 1gb , ['complex queries'] )  hint_id : 64 
51 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
52 Hint: ( innodb_log_file_size , increase , ['write heavy'] )  hint_id : 26 
52 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
52 Hint: ( innodb_log_file_size , 4gb , ['write heavy'] )  hint_id : 32 
52 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
52 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
52 Hint: ( tmp_table_size , 1gb , ['complex queries'] )  hint_id : 64 
52 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
53 Hint: ( innodb_log_file_size , increase , ['write heavy'] )  hint_id : 26 
53 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
53 Hint: ( innodb_log_file_size , 4gb , ['write heavy'] )  hint_id : 32 
53 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
54 Hint: ( innodb_log_file_size , increase , ['write heavy'] )  hint_id : 26 
54 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
54 Hint: ( innodb_log_file_size , 4gb , ['write heavy'] )  hint_id : 32 
54 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
55 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
55 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
55 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
55 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
55 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
55 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
56 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
56 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
56 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
56 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
56 Hint: ( tmp_table_size , 1gb , ['complex queries'] )  hint_id : 64 
56 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
57 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
